fmea_id,subsystem,component,function,failure_mode,failure_effect,severity,potential_cause,occurrence,current_prevention_control,current_detection_control,detection,rpn,recommended_action,action_owner,target_completion_date,revised_severity,revised_occurrence,revised_detection,revised_rpn,status
1,Propulsion,Motor,Convert electrical energy to rotational thrust,Bearing seizure,Complete loss of motor rotation → vehicle crash,9,Insufficient lubrication / contamination during assembly,5,Assembly SOP with torque spec,End-of-line vibration test,5,225,Add bearing inspection step at motor install; specify grease type in BOM,QE-Torres,2026-07-04,9,3,3,81,Open
2,Propulsion,Motor,Convert electrical energy to rotational thrust,Rotor imbalance,Excessive vibration → structural fatigue of mount bracket,7,Damaged or contaminated rotor blades during handling,4,Incoming visual inspection,End-of-line vibration signature check,4,112,Implement dynamic balance check at motor receiving inspection,QE-Patel,2026-06-25,7,2,2,28,In Progress
3,Propulsion,Motor,Convert electrical energy to rotational thrust,Winding insulation failure,Electrical short → ESC shutdown → propulsion loss,9,Thermal cycling stress; manufacturing defect,3,Supplier IPC-A-610 cert required,Hi-pot dielectric test at EOL,3,81,Require 100% hi-pot test at supplier; add thermal shock screen,QE-Nguyen,2026-06-18,9,2,2,36,In Progress
4,Propulsion,Motor,Convert electrical energy to rotational thrust,Motor overheating,Demagnetization → power loss; potential fire risk,8,Incorrect motor specified for duty cycle; blocked airflow,4,Thermal simulation in design review,Thermal imaging at end-of-line,4,128,Add thermal derating curve to motor spec; test at max load,QE-Torres,2026-07-19,8,2,3,48,Open
5,Propulsion,Motor,Convert electrical energy to rotational thrust,Incorrect motor installed,Wrong thrust profile → flight control failure,8,Part number confusion on similar-looking variants,3,Part number label on motor,Visual check at installation,5,120,Implement barcode scan verification at motor installation station,QE-Brooks,2026-06-14,8,1,2,16,Complete
6,Propulsion,Electronic Speed Controller,Regulate motor power via PWM,Firmware mismatch,Motor runs at wrong speed profile → unstable flight,8,Firmware version not validated against motor/FC combination,5,Firmware release notes reviewed at build,EOL motor spin-up test,4,160,Lock firmware version in build traveler; add version check to EOL script,QE-Osei,2026-06-18,8,2,2,32,In Progress
7,Propulsion,Electronic Speed Controller,Regulate motor power via PWM,Thermal shutdown,Mid-flight power cutoff → crash,9,Inadequate heatsinking; ambient temperature exceeded spec,4,Thermal analysis at design stage,Thermal imaging at EOL,4,144,Add 10°C thermal margin to ESC mounting design; validate in thermal chamber,QE-Torres,2026-07-04,9,2,3,54,In Progress
8,Propulsion,Electronic Speed Controller,Regulate motor power via PWM,Signal loss,Motor stops receiving throttle signal → vehicle drop,10,Wiring harness damage; connector vibration loosening,4,Wiring harness routing guidelines,EOL signal continuity test,3,120,Add locking connector on ESC signal line; vibration test at system level,QE-Patel,2026-06-25,10,2,2,40,In Progress
9,Propulsion,Electronic Speed Controller,Regulate motor power via PWM,Solder joint failure,Intermittent / complete power loss,7,Poor wetting; thermal fatigue from power cycling,4,Supplier IPC-A-610 Class 3 required,X-ray inspection sample plan,5,140,Increase x-ray sample rate to 20%; add thermal cycle screen,QE-Nguyen,2026-06-25,7,3,3,63,Open
10,Propulsion,Electronic Speed Controller,Regulate motor power via PWM,Incorrect calibration,Motor timing mismatch → efficiency loss / instability,6,Calibration step skipped or documented incorrectly,3,Calibration procedure in work instruction,EOL calibration verification,3,54,Add mandatory calibration step with pass/fail criteria to build traveler,QE-Brooks,2026-06-11,6,2,2,24,Complete
11,Propulsion,Propeller,Generate thrust via aerodynamic lift,Crack,Blade separation → catastrophic imbalance → crash,10,Impact damage; material defect; fatigue from over-torque,3,Incoming visual inspection SOP,EOL vibration signature test,4,120,Add dye-penetrant inspection to receiving; torque limiter on installation tool,QE-Torres,2026-06-18,10,2,2,40,In Progress
12,Propulsion,Propeller,Generate thrust via aerodynamic lift,Delamination,Loss of aerodynamic profile → thrust asymmetry,8,CFRP layup defect; moisture ingress during storage,4,Supplier process audit annually,Ultrasonic C-scan sample inspection,5,160,Add C-scan to receiving AQL plan for CFRP propellers; improve storage spec,QE-Osei,2026-07-04,8,2,3,48,Open
13,Propulsion,Propeller,Generate thrust via aerodynamic lift,Incorrect pitch installed,Wrong performance curve → under/over thrust,7,Wrong part pulled from inventory; no pitch marking check,4,Part labeling standard,Visual check at assembly,5,140,Add pitch laser-etch marking; implement scan-to-verify at assembly,QE-Patel,2026-06-14,7,2,2,28,Complete
14,Propulsion,Propeller,Generate thrust via aerodynamic lift,Loose attachment,Propeller detaches in flight → crash,10,Under-torque at installation; incorrect fastener,2,Torque spec in work instruction,Torque audit at EOL,2,40,Use torque-indicating fasteners; add torque verification to build record,QE-Brooks,2026-06-11,10,1,1,10,Complete
15,Propulsion,Propeller,Generate thrust via aerodynamic lift,Surface damage,Drag increase → reduced endurance,4,Handling damage post-inspection,3,Handling guidelines in SOP,Visual inspection before installation,4,48,Add foam-lined storage trays; inspect immediately before installation,QE-Nguyen,2026-06-18,4,2,3,24,Open
16,Propulsion,Motor Mount Bracket,Rigidly locate motor to airframe,Hole position out of tolerance,Motor misalignment → vibration → fatigue,7,Fixture wear; CNC program error,5,First article inspection (FAI) required,CMM inspection per AQL,5,175,Tighten AQL from 1.0 to 0.4 for hole position; add SPC on CNC fixture,QE-Torres,2026-06-25,7,3,3,63,In Progress
17,Propulsion,Motor Mount Bracket,Rigidly locate motor to airframe,Crack at mounting feature,Structural failure → motor detachment → crash,9,Stress concentration; incorrect alloy; over-torque,3,FEA review in design; material cert required,100% visual + dye-pen on critical features,3,81,Add stress-relief radius to design; specify 7075-T6 only in BOM,QE-Patel,2026-06-18,9,2,2,36,In Progress
18,Propulsion,Motor Mount Bracket,Rigidly locate motor to airframe,Flatness failure,Poor motor contact → vibration transmission,6,Machining stress relief insufficient,4,Flatness spec on drawing,CMM flatness measurement,3,72,Add stress-relief annealing step to manufacturing router,QE-Nguyen,2026-06-25,6,2,2,24,Complete
19,Propulsion,Motor Mount Bracket,Rigidly locate motor to airframe,Fastener interface wear,Loose motor over time → vibration increase,5,Insufficient thread engagement; wrong fastener grade,4,Fastener spec in BOM,Torque-off test at sample rate,4,80,Specify thread insert (Helicoil) for high-cycle fastener interfaces,QE-Brooks,2026-07-04,5,2,3,30,Open
20,Propulsion,Motor Mount Bracket,Rigidly locate motor to airframe,Incorrect material lot,Wrong alloy → reduced strength margin,8,Material certs not verified at receiving,3,Supplier material cert required,PMI (positive material identification) sample,5,120,Add 100% PMI scan at receiving inspection for motor mount brackets,QE-Osei,2026-06-18,8,2,2,32,In Progress
21,Propulsion,Wiring Harness,Transmit power and signal to motor/ESC,Connector not fully seated,Intermittent power/signal → erratic motor behavior,8,Assembly error; connector design requires high insertion force,5,Assembly SOP with seating verification,EOL continuity test,4,160,Add positive-lock connectors; add seating force verification to work instruction,QE-Torres,2026-06-18,8,3,2,48,In Progress
