ncr_id,source,date_opened,part_number,part_name,part_serial_number,lot_number,supplier_id,failed_feature,feature_name,gdandt_type,criticality,requirement,actual_result,deviation,tolerance,margin,severity,recommended_disposition,due_date,inspector,inspection_date,status,capa_required
NCR-DRAFT-5000,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0001,LOT-201,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.24855 mm,0.24855,0.2,-0.04855,Major,MRB Review,2026-06-11,QE-Nguyen,2024-02-15,Open,Yes
NCR-DRAFT-5001,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0002,LOT-201,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.0537 mm,0.0537,0.05,-0.0037,Major,MRB Review,2026-06-11,QE-Nguyen,2024-02-15,Open,Yes
NCR-DRAFT-5002,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0004,LOT-201,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.26691 mm,0.26691,0.2,-0.06691,Major,MRB Review,2026-06-11,QE-Nguyen,2024-02-15,Open,Yes
NCR-DRAFT-5003,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0006,LOT-201,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.24437 mm,0.24437,0.2,-0.04437,Major,MRB Review,2026-06-11,QE-Nguyen,2024-02-15,Open,Yes
NCR-DRAFT-5004,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0008,LOT-201,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.23129 mm,0.23129,0.2,-0.03129,Major,MRB Review,2026-06-11,QE-Nguyen,2024-02-15,Open,Yes
NCR-DRAFT-5005,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0009,LOT-201,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.21428 mm,0.21428,0.2,-0.01428,Major,MRB Review,2026-06-11,QE-Nguyen,2024-02-15,Open,Yes
NCR-DRAFT-5006,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0009,LOT-201,SUP-003,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,Motor Bore Perpendicularity to Datum A: ≤ 0.15 mm relative to Datum A,Measured: 0.1563 mm,0.1563,0.15,-0.0063,Major,MRB Review,2026-06-11,QE-Nguyen,2024-02-15,Open,Yes
NCR-DRAFT-5007,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0010,LOT-201,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.2364 mm,0.2364,0.2,-0.0364,Major,MRB Review,2026-06-11,QE-Nguyen,2024-02-15,Open,Yes
NCR-DRAFT-5008,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0013,LOT-202,SUP-003,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,Bolt Hole Diameter: 5.0 ± 0.05 mm,Measured: 5.0547 mm,0.0547,0.05,-0.0047,Major,MRB Review,2026-06-11,QE-Nguyen,2024-03-10,Open,Yes
NCR-DRAFT-5009,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0017,LOT-202,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.0608 mm,0.0608,0.05,-0.0108,Major,MRB Review,2026-06-11,QE-Nguyen,2024-03-10,Open,Yes
